Month,Revenue,Paid_Acquisition,Server_Cost,Customer_Support,Marketing_Other,Salaries,Net_Income
2026-01,150000,30000,12000,8000,10000,60000,30000
2026-02,155000,31000,12500,8200,10500,60000,32800
2026-03,162000,32000,13000,8500,11000,60000,37500
2026-04,168000,33000,13500,8800,11500,65000,36200
2026-05,175000,34000,14000,9000,12000,65000,41000
2026-06,180000,35000,14500,9200,12500,65000,43800
2026-07,188000,36000,15000,9500,13000,65000,49500
2026-08,195000,37000,15500,9800,13500,70000,49200
2026-09,202000,38000,16000,10000,14000,70000,54000
2026-10,210000,39000,16500,10200,14500,70000,59800
2026-11,220000,40000,17000,10500,15000,70000,67500
2026-12,235000,42000,18000,11000,16000,75000,73000
